Light,Observed growth rate,Predicted growth rate,likelihood ,log likelihood,,,Parameters,
98.5,18.2,,,,,,alpha,30
98.5,26,,,,,,gamma,2
98.5,25.7,,,,,,c,6
23.5,6.2,,,,,,sigma,10
11.8,10,,,,,,sum LL,0
11.8,11.2,,,,,,,
19.4,7.3,,,,,,,
19.4,15.7,,,,,,,
98.7,44.2,,,,,,,
98.7,39.7,,,,,,,
98.7,30,,,,,,,
10.9,4.8,,,,,,,
6.5,4.2,,,,,,,
6.5,5.3,,,,,,,
11.1,4.7,,,,,,,
50.4,28.2,,,,,,,
57.5,22.7,,,,,,,
56.3,36.3,,,,,,,
53.6,37.3,,,,,,,
53.5,35.3,,,,,,,
57,37.3,,,,,,,
67.8,33.8,,,,,,,
70.9,32,,,,,,,
75.1,34.2,,,,,,,
22.6,12.5,,,,,,,
64.3,26.2,,,,,,,
12.8,11.5,,,,,,,
29,7.5,,,,,,,
39.6,25,,,,,,,
29.6,14.3,,,,,,,
28.7,17.2,,,,,,,
71.1,28.3,,,,,,,
98,12.7,,,,,,,
98,30.3,,,,,,,
98,25,,,,,,,
5.6,2.7,,,,,,,
6.9,3.5,,,,,,,
39.1,19.2,,,,,,,
28.8,30.7,,,,,,,
38.2,32.2,,,,,,,
43.4,46.7,,,,,,,
38.2,24.8,,,,,,,
56.4,31.7,,,,,,,
53.5,26.8,,,,,,,
29.4,29.7,,,,,,,
39.1,30.8,,,,,,,
18.7,28.7,,,,,,,
18,20.2,,,,,,,
25.4,4.7,,,,,,,
57.1,25.5,,,,,,,
25.9,6.8,,,,,,,
15.5,10.5,,,,,,,
14.6,4.2,,,,,,,
42.9,26.3,,,,,,,
37.1,31.3,,,,,,,
66.4,13.5,,,,,,,
39.3,14.3,,,,,,,
14.9,16.8,,,,,,,
14.9,8.2,,,,,,,
27.4,11.7,,,,,,,
19.7,23.2,,,,,,,
22.9,21.2,,,,,,,
98.3,37,,,,,,,
98.3,34.2,,,,,,,
98.3,29.2,,,,,,,
7.7,5.3,,,,,,,
7.7,6,,,,,,,
8.8,6.5,,,,,,,
8.8,4,,,,,,,
8.8,6.7,,,,,,,
41.3,16.8,,,,,,,
43.4,17,,,,,,,
40.5,23.2,,,,,,,
80.5,31.7,,,,,,,
82.8,31.2,,,,,,,
83.5,23.5,,,,,,,
85.9,27.3,,,,,,,
