Laboratory_ id,Sample_id,Lake,Fish_species_common_name,Fish_species_latin_name,Site_name_or_number,Date_fish_sampled,Gutted_ashed_fish_mass_in_grams,Gutted_fresh_fish_mass_in_grams,Ratio_of_wet_fish_mass_to_ashed_fish_mass ,Li_mg_kg_quantitative,Be_<,Be_mg_kg_quantitative,Na_ICPOES_mg_kg_quantitative,Mg_ICPOES_mg_kg_quantitative,Al_<,Al_mg_kg_quantitative,P_ICPOES_mg_kg_quantitative,S_mg_kg_semi_quantitative,K_ICPOES_mg_kg_quantitative,Ca_ICPOES_mg_kg_quantitative,Ti_mg_kg_quantitative,Mn_mg_kg_quantitative,Fe_ICPOES_mg_kg_quantitative,Co_<,Co_mg_kg_quantitative,Ni_<,Ni_mg_kg_quantitative,Cu_mg_kg_quantitative,Zn_mg_kg_quantitative,Se_<,Se_mg_kg_quantitative,Br_<,Br_mg_kg_semi_quantitative,Rb_mg_kg_quantitative,Sr_mg_kg_quantitative,Y_mg_kg_semi_quantitative,Zr_<,Zr_mg_kg_semi_quantitative,Nb_<,Nb_mg_kg_semi_quantitative,Mo_<,Mo_mg_kg_quantitative,Rh_<,Rh_mg_kg_semi_quantitative,Pd_<,Pd_mg_kg_semi_quantitative,Cd_mg_kg_quantitative,Sn_<,Sn_mg_kg_semi_quantitative,Sb_<,Sb_mg_kg_quantitative,Cs_mg_kg_quantitative,Ba_mg_kg_quantitative,La_<,La_mg_kg_quantitative,Ce_<,Ce_mg_kg_quantitative,Pr_<,Pr_mg_kg_quantitative,Nd_<,Nd_mg_kg_semi_quantitative,Sm_<,Sm_mg_kg_semi_quantitative,Eu_<,Eu_mg_kg_semi_quantitative,Gd_<,Gd_mg_kg_semi_quantitative,Tb_<,Tb_mg_kg_semi_quantitative,Dy_<,Dy_mg_kg_semi_quantitative,Ho_<,Ho_mg_kg_semi_quantitative,Er_<,Er_mg_kg_semi_quantitative,W_<,W_mg_kg_quantitative,Tl_<,Tl_mg_kg_semi_quantitative,Pb_mg_kg_quantitative,U_<,U_mg_kg_quantitative
el32513x10,RCK45,Windermere North Basin,Roach,Rutilus rutilus,Whitecross Bay,17/09/2012,1.44,39.5,27.5,8.45E-01,<,8.38E-04,3.58E+02,3.30E+02,,5.24E-01,6.30E+03,2.73E+02,2.36E+03,1.00E+04,1.53E+01,3.02E+00,8.38E+00,<,7.28E-05,<,7.28E-05,5.14E-01,3.26E+01,,1.94E-02,,6.88E-01,2.91E+00,8.74E+00,1.02E-03,,6.93E-04,,3.65E-05,,9.72E-03,,3.65E-05,<,3.64E-05,1.10E-02,,5.25E-03,,6.56E-04,1.34E-02,1.74E+00,,1.97E-03,,1.93E-03,,8.38E-04,,9.12E-04,,8.39E-04,,7.29E-04,,7.29E-04,,7.66E-04,,8.02E-04,,8.39E-04,,8.02E-04,,1.38E-03,,1.60E-03,2.99E-02,,2.55E-04
el32518x10,RCM1,Windermere South Basin,Roach,Rutilus rutilus,Rawlinsons Nab,18/09/2012,1.76,44.6,25.3,6.12E-01,<,9.08E-04,3.71E+02,3.51E+02,,7.62E-01,6.87E+03,3.79E+02,2.85E+03,1.14E+04,1.79E+01,5.29E+00,6.91E+00,<,7.89E-05,<,7.89E-05,4.22E-01,3.36E+01,,2.43E-02,,7.57E-01,3.70E+00,1.18E+01,3.95E-04,,1.14E-03,<,3.58E-05,,7.34E-03,,3.95E-05,<,3.95E-05,4.89E-03,,6.36E-03,,6.31E-04,1.55E-02,2.62E+00,,1.07E-03,,1.26E-03,,3.16E-04,,4.34E-04,,1.97E-04,,2.37E-04,,2.76E-04,,1.97E-04,,3.16E-04,,2.37E-04,,2.37E-04,<,5.13E-04,,1.58E-03,3.10E-02,,2.76E-04
el32519x10,RCM2,Windermere South Basin,Roach,Rutilus rutilus,Rawlinsons Nab,18/09/2012,1.29,33.71,26.1,7.23E-01,<,8.80E-04,5.01E+02,4.36E+02,,5.01E-01,6.39E+03,3.96E+02,2.21E+03,1.06E+04,1.67E+01,5.13E+00,1.05E+01,<,7.65E-05,<,7.65E-05,5.24E-01,2.76E+01,,2.10E-02,,7.91E-01,3.20E+00,9.87E+00,6.11E-04,,6.49E-04,<,3.46E-05,,9.99E-03,,3.82E-05,<,3.83E-05,6.70E-03,,8.28E-03,,8.04E-04,9.22E-03,1.87E+00,,1.15E-03,,1.26E-03,,3.44E-04,,7.63E-04,<,3.83E-05,,1.53E-04,,2.67E-04,,2.67E-04,,2.67E-04,,2.29E-04,,2.29E-04,<,4.97E-04,,1.34E-03,4.02E-02,,1.91E-04
el32816x10,RCM3,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 5,03/09/2012,3.38,66.0,19.5,2.60E+00,<,1.18E-03,8.55E+02,4.29E+02,,1.93E+00,9.27E+03,3.22E+02,3.34E+03,1.55E+04,2.02E+01,7.58E+00,8.76E+00,,1.79E-03,<,1.02E-04,4.51E-01,1.52E+01,,2.14E-02,,1.67E+00,8.09E+00,1.99E+01,7.70E-04,<,1.48E-03,,5.13E-05,,2.15E-03,<,5.12E-05,,6.67E-04,2.35E-02,,6.72E-03,,6.66E-04,7.27E-02,1.31E+00,,2.25E-03,,3.79E-03,,4.61E-04,,1.08E-03,,1.54E-04,,1.03E-04,,2.05E-04,,5.13E-05,,2.05E-04,<,5.12E-05,<,5.12E-05,<,6.66E-04,<,5.12E-05,5.79E-02,,1.54E-04
el32817x10,RCM4,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 5,03/09/2012,5.29,88.3,16.7,1.03E+00,<,1.38E-03,9.70E+02,4.43E+02,,3.40E-01,1.08E+04,3.39E+02,3.12E+03,1.91E+04,2.37E+01,1.21E+01,8.56E+00,<,1.20E-04,<,1.20E-04,2.01E-01,1.64E+01,,3.71E-02,,3.37E+00,7.73E+00,2.30E+01,5.99E-04,<,1.73E-03,<,5.43E-05,,1.80E-03,,5.99E-05,,5.99E-04,2.58E-02,,6.47E-03,<,4.19E-04,8.44E-02,1.55E+00,,8.98E-04,,1.02E-03,,1.80E-04,,4.19E-04,,5.99E-05,<,5.99E-05,,5.99E-05,<,5.99E-05,<,5.99E-05,<,5.99E-05,<,5.99E-05,<,7.79E-04,,1.80E-04,5.06E-02,,1.20E-04
el32818x10,RCM5,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 5,03/09/2012,4.53,86.3,19.0,7.19E-01,<,1.21E-03,8.88E+02,4.00E+02,,1.90E+00,8.98E+03,3.27E+02,3.09E+03,1.53E+04,2.13E+01,1.18E+01,1.23E+01,,1.79E-03,<,1.05E-04,2.40E-01,1.53E+01,,2.29E-02,,1.95E+00,8.09E+00,2.21E+01,6.81E-04,,4.72E-04,<,4.75E-05,,3.15E-03,<,5.25E-05,,3.15E-04,3.17E-02,,5.82E-03,,4.73E-04,6.72E-02,1.33E+00,,2.63E-03,,4.78E-03,,5.78E-04,,1.10E-03,,2.62E-04,,1.05E-04,,1.57E-04,,1.05E-04,,2.10E-04,<,5.25E-05,<,5.25E-05,<,6.83E-04,<,5.25E-05,3.98E-02,,5.25E-05
el32819x10,RCM6,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 1,03/09/2012,1.9,28.1,14.8,4.78E-02,<,1.56E-03,9.55E+02,5.19E+02,,8.33E-01,1.17E+04,5.30E+02,3.64E+03,2.03E+04,2.54E+01,3.01E+01,1.35E+01,,9.48E-04,<,1.35E-04,4.10E-01,1.92E+01,,6.36E-02,,3.54E+00,6.16E+00,2.87E+01,6.75E-04,,6.75E-05,<,6.12E-05,,3.25E-03,,6.75E-05,,5.40E-04,3.82E-02,,5.67E-03,,6.77E-04,7.25E-02,2.41E+00,,1.63E-03,,2.17E-03,,5.42E-04,,9.44E-04,,3.37E-04,,4.72E-04,,4.72E-04,,5.40E-04,,6.75E-04,,5.40E-04,,2.70E-04,<,8.81E-04,,3.31E-03,1.04E-01,,2.03E-04
el32820x10,RCM7,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 1,03/09/2012,3.24,51.2,15.8,1.10E+00,<,1.45E-03,9.61E+02,4.77E+02,,5.31E-01,1.11E+04,6.31E+02,3.46E+03,1.91E+04,2.38E+01,2.43E+01,1.03E+01,,1.71E-03,<,1.26E-04,3.48E-01,1.62E+01,,6.24E-02,,3.24E+00,5.77E+00,2.49E+01,1.07E-03,<,1.82E-03,<,5.71E-05,,2.09E-03,,6.30E-05,,3.15E-04,1.95E-02,,7.31E-03,,5.69E-04,6.13E-02,1.56E+00,,1.45E-03,,1.71E-03,,9.48E-04,,1.13E-03,,7.56E-04,,1.01E-03,,7.56E-04,,1.07E-03,,1.26E-03,,1.32E-03,,1.13E-03,<,8.22E-04,,3.78E-03,5.19E-02,,1.26E-04
el32905x10,RCM8,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 1,03/09/2012,3.48,62.1,17.8,3.28E-01,<,1.29E-03,8.30E+02,4.07E+02,,1.09E+00,9.53E+03,4.87E+02,2.91E+03,1.64E+04,2.19E+01,1.84E+01,8.52E+00,<,1.12E-04,<,1.12E-04,1.72E-01,1.49E+01,,5.55E-02,,1.54E+00,6.05E+00,2.23E+01,5.04E-04,,1.63E-03,<,5.08E-05,<,2.80E-04,,1.12E-04,<,5.60E-05,2.96E-02,,9.19E-03,<,3.92E-04,6.50E-02,1.79E+00,,4.48E-04,,6.17E-04,<,1.12E-04,,2.80E-04,,2.24E-04,,1.12E-04,,1.68E-04,<,5.60E-05,,1.12E-04,,5.60E-05,<,5.60E-05,<,7.29E-04,,3.14E-03,4.52E-02,<,5.60E-05
el32906x10,RCM9,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 2,03/09/2012,1.88,37.6,20.0,1.85E-01,<,1.15E-03,7.36E+02,4.06E+02,,8.91E-01,8.81E+03,5.08E+02,3.17E+03,1.47E+04,2.08E+01,1.14E+01,8.36E+00,<,1.00E-04,<,1.00E-04,1.91E-01,1.45E+01,,3.90E-02,,1.49E+00,5.36E+00,2.02E+01,4.01E-04,,3.00E-04,<,4.54E-05,<,2.50E-04,,1.00E-04,,5.01E-04,2.96E-02,,7.46E-03,<,3.50E-04,5.86E-02,1.42E+00,,7.01E-04,,1.15E-03,<,1.00E-04,,4.01E-04,,5.01E-05,,5.01E-05,,5.01E-05,<,5.01E-05,,5.01E-05,,5.01E-05,,5.01E-05,<,6.51E-04,,6.06E-03,5.81E-02,<,5.01E-05
el32805x10,RCM10,Derwent Water,Perch,Perca fluviatillis,Site 2,05/09/2012,5.53,98.7,17.8,9.53E-01,<,1.29E-03,8.63E+02,4.27E+02,,2.48E-01,9.86E+03,4.90E+02,3.05E+03,1.69E+04,2.24E+01,1.59E+01,5.66E+00,<,1.12E-04,<,1.12E-04,1.99E-01,1.17E+01,,5.30E-02,,2.43E+00,1.22E+01,5.36E+01,5.61E-04,,1.07E-03,<,5.08E-05,,2.24E-03,,1.68E-04,,5.61E-05,1.50E-02,,3.31E-03,,4.48E-04,1.28E-01,1.77E+00,,1.51E-03,,1.18E-03,,2.24E-04,,3.92E-04,,5.61E-05,,5.61E-05,<,5.60E-05,<,5.60E-05,,5.61E-05,,5.61E-05,,5.61E-05,<,7.29E-04,,3.08E-03,1.33E-01,,5.60E-05
el32806x10,RCM11,Derwent Water,Perch,Perca fluviatillis,Site 3,05/09/2012,9.27,166.5,18.0,3.43E-01,<,1.28E-03,9.52E+02,4.24E+02,,1.58E-01,9.85E+03,5.05E+02,3.18E+03,1.74E+04,2.13E+01,6.96E+00,7.18E+00,<,1.11E-04,<,1.11E-04,1.46E-01,1.33E+01,,4.81E-02,,2.79E+00,1.76E+01,3.84E+01,2.78E-04,<,1.60E-03,,1.11E-04,,2.06E-03,,1.11E-04,,5.00E-04,2.00E-02,,3.94E-03,<,3.90E-04,1.79E-01,6.35E-01,,1.39E-03,,9.46E-04,,1.67E-04,,4.44E-04,,1.67E-04,<,5.57E-05,<,5.57E-05,<,5.57E-05,<,5.57E-05,<,5.57E-05,<,5.57E-05,<,7.24E-04,,2.94E-03,1.74E-02,<,5.57E-05
el32807x10,RCM12,Derwent Water,Perch,Perca fluviatillis,Site 3,05/09/2012,3.82,76.1,19.9,7.68E-01,<,1.15E-03,8.03E+02,4.00E+02,,2.84E-01,8.94E+03,5.14E+02,3.22E+03,1.47E+04,1.85E+01,2.14E+01,5.98E+00,<,1.00E-04,<,1.00E-04,1.36E-01,1.30E+01,,2.41E-02,,2.44E+00,1.43E+01,3.56E+01,6.50E-04,<,1.44E-03,,1.00E-04,,2.36E-03,,1.50E-04,,2.50E-04,1.61E-02,,3.70E-03,,3.51E-04,1.32E-01,6.38E-01,,1.81E-03,,1.41E-03,,5.52E-04,,9.00E-04,,2.50E-04,,4.00E-04,,3.50E-04,,5.50E-04,,4.00E-04,,4.50E-04,,4.50E-04,,2.76E-03,,3.75E-03,3.92E-02,,5.02E-05
el32808x10,RCM13,Derwent Water,Perch,Perca fluviatillis,Site 4,05/09/2012,14.7,228.8,15.6,9.51E-01,<,1.48E-03,1.11E+03,4.49E+02,,3.53E-01,1.07E+04,5.05E+02,3.10E+03,2.01E+04,2.27E+01,7.64E+00,9.25E+00,<,1.28E-04,<,1.28E-04,1.55E-01,1.20E+01,,7.00E-02,,3.79E+00,1.61E+01,3.91E+01,7.04E-04,,7.68E-04,,6.40E-05,,1.73E-03,,1.28E-04,,5.76E-04,2.69E-02,,4.93E-03,<,4.50E-04,2.25E-01,8.48E-01,,1.99E-03,,1.86E-03,,2.57E-04,,5.12E-04,,6.40E-05,<,6.42E-05,,6.40E-05,,6.40E-05,<,6.42E-05,<,6.42E-05,<,6.42E-05,<,8.35E-04,,4.41E-03,8.16E-02,<,6.42E-05
el32809x10,RCM14,Derwent Water,Perch,Perca fluviatillis,Site 5,05/09/2012,3.4,61.2,18.0,5.56E-01,<,1.28E-03,8.89E+02,4.30E+02,,1.22E+00,9.78E+03,1.13E+03,3.40E+03,1.64E+04,2.23E+01,1.16E+01,8.67E+00,<,1.11E-04,<,1.11E-04,1.81E-01,1.42E+01,,4.01E-02,<,1.20E+00,1.37E+01,4.31E+01,1.67E-04,<,1.61E-03,<,5.05E-05,,4.22E-03,<,5.56E-05,<,5.56E-05,2.23E-02,<,3.97E-03,,7.78E-04,1.24E-01,6.33E-01,,2.17E-03,,1.67E-03,,5.56E-04,,1.11E-04,,2.78E-04,,2.78E-04,,5.57E-05,,3.34E-04,,1.67E-04,,4.45E-04,,2.23E-04,<,7.22E-04,<,5.56E-05,7.56E-02,,1.67E-04
el32919x10,RCM15,Windermere South Basin,Pike,Esox lucius,Lakeside,18/09/2012,1.45,48.9,33.7,1.64E-02,<,6.83E-04,5.64E+02,2.91E+02,,1.61E-01,5.16E+03,4.19E+02,2.64E+03,7.39E+03,1.19E+01,5.31E+00,6.05E+00,<,5.94E-05,<,5.94E-05,1.54E-01,1.95E+01,,1.26E-02,,6.67E-01,3.26E+00,3.12E+00,2.67E-04,,6.52E-04,<,2.69E-05,<,1.48E-04,,2.96E-05,,2.96E-05,2.55E-03,,3.74E-03,<,2.08E-04,1.35E-02,3.23E-01,,3.26E-04,,3.86E-04,,1.19E-04,,4.15E-04,,2.96E-04,,2.67E-04,,2.96E-04,,4.15E-04,,3.56E-04,,4.45E-04,,3.85E-04,<,3.86E-04,,2.16E-03,2.14E-02,<,2.97E-05
el32920x10,RCM16,Windermere South Basin,Pike,Esox lucius,Lakeside,18/09/2012,0.91,27.2,29.9,1.08E-02,<,7.69E-04,6.18E+02,3.27E+02,,4.05E-01,5.92E+03,5.16E+02,3.08E+03,8.22E+03,1.38E+01,6.92E+00,6.35E+00,<,6.69E-05,<,6.69E-05,2.18E-01,2.00E+01,,1.01E-02,,5.27E-01,3.71E+00,3.23E+00,2.67E-04,,1.04E-03,,6.68E-05,,7.02E-04,<,3.34E-05,,3.34E-05,3.34E-03,,4.95E-03,<,2.34E-04,1.55E-02,4.11E-01,,4.35E-04,,6.02E-04,<,6.69E-05,,4.68E-04,,6.68E-05,,3.34E-05,,6.68E-05,<,3.34E-05,,1.00E-04,,3.34E-05,,3.34E-05,<,4.35E-04,,6.02E-04,3.81E-02,<,3.34E-05
el32804x10,RCM17,Windermere North Basin,Pike,Esox lucius,Green Tuft Bay,17/09/2012,1.43,41.4,28.9,1.82E-01,<,7.95E-04,7.12E+02,3.45E+02,,5.56E-01,6.15E+03,3.92E+02,3.07E+03,8.95E+03,1.24E+01,4.56E+00,6.50E+00,<,6.91E-05,<,6.91E-05,1.52E-01,2.30E+01,,1.01E-02,,7.27E-01,4.35E+00,4.39E+00,4.84E-04,,2.39E-03,,1.04E-04,,2.59E-03,<,3.45E-05,,6.92E-05,5.25E-03,,3.43E-03,,4.84E-04,2.02E-02,5.36E-01,,1.07E-03,,1.45E-03,,3.11E-04,,4.84E-04,,3.11E-04,,1.38E-04,,2.42E-04,,2.08E-04,,2.77E-04,,2.77E-04,,1.38E-04,<,4.49E-04,,2.42E-04,6.29E-02,,3.45E-05
el32907x10,RCM18,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 2,03/09/2012,0.97,20.9,21.6,1.14E-01,<,1.07E-03,6.91E+02,3.91E+02,,9.46E-01,8.21E+03,4.62E+02,2.95E+03,1.34E+04,1.80E+01,2.21E+01,1.05E+01,,5.89E-03,<,9.28E-05,1.67E-01,1.80E+01,,4.53E-02,,1.24E+00,3.92E+00,1.87E+01,1.02E-03,,5.56E-04,,9.26E-05,,4.18E-04,<,4.64E-05,,2.32E-04,4.37E-02,,5.60E-03,<,3.25E-04,4.63E-02,1.30E+00,,1.81E-03,,2.51E-03,,6.49E-04,,1.20E-03,,7.87E-04,,9.72E-04,,8.34E-04,,1.07E-03,,1.02E-03,,1.25E-03,,9.72E-04,<,6.03E-04,,2.41E-03,1.38E-01,<,4.64E-05
el32908x10,RCM19,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 2,03/09/2012,1.66,35.1,21.1,3.27E-02,<,1.09E-03,7.85E+02,3.70E+02,,7.52E-01,8.18E+03,4.90E+02,2.91E+03,1.37E+04,1.86E+01,2.04E+01,7.19E+00,,7.57E-04,<,9.46E-05,1.56E-01,1.80E+01,,4.35E-02,,1.62E+00,4.05E+00,2.03E+01,4.25E-04,<,1.36E-03,<,4.28E-05,<,2.36E-04,<,4.73E-05,,4.25E-04,3.87E-02,,6.79E-03,<,3.31E-04,4.39E-02,1.35E+00,,1.23E-03,,1.61E-03,,2.36E-04,,9.43E-04,<,4.73E-05,,2.83E-04,,5.19E-04,,3.30E-04,,2.83E-04,,4.25E-04,,2.36E-04,<,6.15E-04,,2.69E-03,1.70E-01,<,4.73E-05
el32909x10,RCM20,Bassenthwaite Lake,Perch,Perca fluviatillis,Site 2,03/09/2012,0.59,13.9,23.5,4.25E-02,<,9.78E-04,6.42E+02,3.69E+02,,5.79E-01,7.36E+03,4.31E+02,2.90E+03,1.19E+04,1.81E+01,1.17E+01,8.55E+00,,4.25E-04,<,8.51E-05,1.86E-01,1.60E+01,,3.10E-02,,1.01E+00,6.51E+00,2.10E+01,3.41E-04,,5.54E-04,,4.26E-05,,8.51E-04,,1.28E-04,,1.28E-04,2.65E-02,,4.52E-03,<,2.98E-04,5.96E-02,1.32E+00,,1.11E-03,,1.45E-03,,4.25E-04,,6.40E-04,,4.69E-04,,4.69E-04,,7.25E-04,,6.40E-04,,4.26E-04,,6.82E-04,,5.12E-04,<,5.53E-04,,2.35E-03,7.87E-02,<,4.25E-05
el32910x10,RCM21,Windermere South Basin,Roach,Rutilus rutilus,Lakeside,18/09/2012,6.87,158.2,23.0,2.64E-01,<,9.99E-04,6.21E+02,3.91E+02,,3.51E-01,7.64E+03,4.19E+02,2.64E+03,1.28E+04,1.83E+01,6.12E+00,1.03E+01,<,8.69E-05,<,8.69E-05,3.56E-01,2.90E+01,,3.09E-02,,5.99E-01,2.54E+00,1.20E+01,5.22E-04,,8.70E-05,<,3.95E-05,,4.39E-03,<,4.34E-05,<,4.34E-05,6.91E-03,,5.44E-03,<,3.04E-04,1.20E-02,2.97E+00,,6.08E-04,,6.95E-04,,8.69E-05,,3.48E-04,,5.66E-04,,3.92E-04,,3.48E-04,,3.92E-04,,3.05E-04,,3.48E-04,,2.61E-04,<,5.65E-04,,7.83E-04,2.84E-02,<,4.34E-05
el32915x10,RCM22,Windermere South Basin,Roach,Rutilus rutilus,Rawlinsons Nab,18/09/2012,1.13,32.4,28.7,1.52E-01,<,8.03E-04,4.26E+02,3.38E+02,,2.03E-01,5.97E+03,4.41E+02,2.33E+03,9.21E+03,1.40E+01,5.06E+00,5.72E+00,<,6.98E-05,<,6.98E-05,3.43E-01,2.82E+01,,3.23E-02,,5.84E-01,3.28E+00,8.83E+00,4.20E-04,<,1.01E-03,<,3.17E-05,,4.96E-03,,7.00E-05,<,3.49E-05,6.94E-03,,5.11E-03,<,2.44E-04,1.06E-02,1.72E+00,,4.89E-04,,4.89E-04,<,6.98E-05,,5.95E-04,,1.40E-04,,3.50E-04,,3.50E-04,,3.15E-04,,3.15E-04,,2.80E-04,,2.45E-04,<,4.54E-04,,2.06E-03,3.91E-02,<,3.49E-05
el32914x10,RCM23,Windermere South Basin,Roach,Rutilus rutilus,Rawlinsons Nab,18/09/2012,0.95,29.7,31.3,2.54E-01,<,7.36E-04,3.65E+02,3.26E+02,,2.79E-01,5.47E+03,3.82E+02,2.24E+03,8.54E+03,1.25E+01,5.12E+00,8.89E+00,<,6.40E-05,<,6.40E-05,3.15E-01,2.69E+01,,1.77E-02,,4.39E-01,3.23E+00,6.56E+00,4.18E-04,,2.90E-04,,3.22E-05,,4.45E-03,,6.44E-05,<,3.20E-05,7.71E-03,,6.15E-03,<,2.24E-04,7.58E-03,1.49E+00,,4.48E-04,,3.52E-04,<,6.40E-05,,2.57E-04,,1.61E-04,,6.44E-05,,6.44E-05,,3.22E-05,,3.22E-05,,3.22E-05,,3.22E-05,<,4.16E-04,,1.42E-03,2.29E-02,<,3.20E-05
el32916x10,RCM 24,Windermere South Basin,Roach,Rutilus rutilus,Rawlinsons Nab,18/09/2012,6.68,180.5,27.0,8.96E-01,<,8.51E-04,4.74E+02,3.37E+02,,1.39E-01,6.40E+03,2.77E+02,2.53E+03,1.05E+04,1.46E+01,2.33E+00,7.18E+00,<,7.40E-05,<,7.40E-05,5.33E-01,2.46E+01,,2.32E-02,,1.06E+00,2.82E+00,8.25E+00,2.59E-04,,8.14E-04,<,3.35E-05,,6.44E-03,,3.70E-05,<,3.70E-05,5.22E-03,,6.62E-03,<,2.59E-04,1.51E-02,2.06E+00,,2.59E-04,,1.48E-04,<,7.40E-05,,3.33E-04,,1.11E-04,,1.85E-04,,3.70E-05,,1.48E-04,,7.40E-05,,1.11E-04,,1.85E-04,<,4.81E-04,,2.22E-04,2.85E-02,<,3.70E-05
el32917x10,RCM25,Windermere South Basin,Roach,Rutilus rutilus,Floating,18/09/2012,0.26,9.3,35.6,1.86E-02,<,1.15E-03,3.06E+02,2.59E+02,,2.77E-01,4.86E+03,3.77E+02,1.75E+03,7.52E+03,1.19E+01,2.86E+00,6.65E+00,,9.83E-04,<,1.12E-04,2.80E-01,2.92E+01,,3.29E-02,,5.89E-01,2.72E+00,6.26E+00,3.48E-04,,7.95E-04,,4.97E-05,,1.83E-03,,4.97E-05,<,2.81E-05,6.63E-03,,9.64E-03,<,3.37E-04,5.62E-03,1.46E+00,,2.81E-04,,2.25E-04,<,1.12E-04,,2.98E-04,<,2.81E-05,,9.94E-05,,4.97E-05,,4.97E-05,<,2.81E-05,<,2.81E-05,,4.97E-05,<,6.46E-04,,2.73E-03,1.48E-01,<,5.62E-05
el32918x10,RCM26,Windermere South Basin,Brown trout,Salmo trutta,Silver Holme (20m),18/09/2012,11.13,495.47,44.5,4.18E-01,<,5.17E-04,3.53E+02,2.74E+02,,4.92E-01,4.02E+03,1.43E+02,3.08E+03,4.56E+03,8.47E+00,1.41E+00,8.51E+00,,6.29E-04,<,4.49E-05,6.54E-01,1.84E+01,,7.73E-03,,6.20E-01,6.22E+00,3.37E+00,2.26E-04,,2.93E-04,,4.51E-05,,1.06E-03,,2.26E-05,<,2.25E-05,5.80E-03,,3.20E-03,<,1.57E-04,1.62E-02,1.48E-01,,5.39E-04,,7.86E-04,,4.49E-05,,2.03E-04,<,2.25E-05,,4.51E-05,,1.35E-04,<,2.25E-05,,9.03E-05,,2.26E-05,,4.51E-05,<,2.92E-04,<,2.25E-05,1.85E-02,<,2.25E-05
el32810x10,RCM27,Derwent Water,Ruffe,Gymnocephalus cernua,Site 3,05/09/2012,0.49,10.2,20.7,4.87E-02,<,1.25E-03,6.51E+02,3.37E+02,,2.50E+00,7.81E+03,3.54E+02,1.93E+03,1.52E+04,1.73E+01,6.70E+01,2.23E+01,,2.06E-02,<,9.65E-05,2.10E-01,1.83E+01,,7.91E-02,,1.02E+00,3.58E+00,1.70E+01,3.37E-03,,3.90E-03,,1.60E-04,,6.99E-03,,5.34E-05,,4.81E-04,4.20E-02,,8.02E-03,,1.69E-03,3.81E-02,1.36E+00,,8.58E-03,,1.08E-02,,1.50E-03,,4.81E-03,,1.12E-03,,3.21E-04,,1.28E-03,,1.60E-04,,1.02E-03,,2.67E-04,,2.67E-04,<,6.75E-04,,3.26E-03,5.21E-01,,6.27E-04
el32811x10,RCM28,Derwent Water,Ruffe,Gymnocephalus cernua,Site 3,05/09/2012,0.59,11.1,18.9,4.91E-02,<,1.22E-03,8.11E+02,3.54E+02,,2.27E+00,8.48E+03,4.62E+02,2.42E+03,1.68E+04,1.84E+01,4.20E+01,2.17E+01,,1.43E-02,<,1.06E-04,2.32E-01,2.27E+01,,9.44E-02,,1.34E+00,4.82E+00,2.00E+01,2.44E-03,,3.19E-03,,1.06E-04,,6.57E-03,,5.31E-05,,6.38E-04,5.51E-02,,8.18E-03,,1.48E-03,5.02E-02,1.42E+00,,8.32E-03,,8.80E-03,,1.33E-03,,3.24E-03,,1.06E-03,,2.13E-04,,7.44E-04,,1.59E-04,,5.84E-04,,1.59E-04,,3.72E-04,<,6.89E-04,,1.86E-03,1.78E-01,,7.42E-04
el32812x10,RCM29,Derwent Water,Ruffe,Gymnocephalus cernua,Site 3,05/09/2012,0.20,5.42,27.1,3.69E-01,<,2.18E-03,4.17E+02,2.65E+02,,2.54E+00,5.76E+03,3.66E+02,1.74E+03,1.07E+04,1.46E+01,3.80E+01,1.56E+01,,1.12E-02,<,1.85E-04,1.98E-01,1.70E+01,,5.35E-02,,7.76E-01,3.67E+00,1.52E+01,2.65E-03,,2.37E-03,,3.79E-04,,6.79E-03,,9.48E-05,,8.53E-04,5.13E-02,,1.31E-02,,1.29E-03,3.99E-02,7.05E-01,,7.45E-03,,9.82E-03,,1.33E-03,,3.89E-03,,1.23E-03,,1.90E-04,,9.48E-04,,1.90E-04,,1.14E-03,,1.90E-04,<,3.69E-05,<,1.22E-03,,1.80E-03,1.68E-01,,4.43E-04
el32813x10,RCM30,Derwent Water,Ruffe,Gymnocephalus cernua,Site 3,05/09/2012,0.65,13.3,20.4,3.34E-02,<,1.13E-03,7.64E+02,3.44E+02,,2.76E+00,8.03E+03,3.99E+02,2.34E+03,1.53E+04,1.77E+01,4.80E+01,2.43E+01,,1.50E-02,<,9.80E-05,1.78E-01,2.14E+01,,8.52E-02,,1.86E+00,4.24E+00,1.60E+01,2.94E-03,,2.11E-03,,2.94E-04,,7.74E-03,,4.91E-05,,3.92E-04,5.73E-02,,7.16E-03,,1.32E-03,4.35E-02,1.25E+00,,7.98E-03,,9.89E-03,,1.67E-03,,4.71E-03,,1.42E-03,,5.89E-04,,1.32E-03,,5.89E-04,,1.28E-03,,5.40E-04,,3.43E-04,,5.58E-03,,3.83E-03,1.37E-01,,6.37E-04
