Laboratory_ id,Sample_id,Lake,Fish_species_common_name,Fish_species_latin_name,Site_name_or_number,Date_fish_sampled,Gutted_ashed_fish_mass_in_grams,Gutted_fresh_fish_mass_in_grams,Ratio_of_wet_fish_mass_to_ashed_fish_mass ,Li_mg_kg_quantitative,Be_<,Be_mg_kg_quantitative,Na_ICPOES_mg_kg_quantitative,Mg_ICPOES_mg_kg_quantitative,Al_<,Al_mg_kg_quantitative,P_ICPOES_mg_kg_quantitative,S_mg_kg_semi_quantitative,K_ICPOES_mg_kg_quantitative,Ca_ICPOES_mg_kg_quantitative,Ti_mg_kg_quantitative,Mn_mg_kg_quantitative,Fe_ICPOES_mg_kg_quantitative,Co_<,Co_mg_kg_quantitative,Ni_<,Ni_mg_kg_quantitative,Cu_mg_kg_quantitative,Zn_mg_kg_quantitative,Se_<,Se_mg_kg_quantitative,Br_<,Br_mg_kg_semi_quantitative,Rb_mg_kg_quantitative,Sr_mg_kg_quantitative,Y_mg_kg_semi_quantitative,Zr_<,Zr_mg_kg_semi_quantitative,Nb_<,Nb_mg_kg_semi_quantitative,Mo_<,Mo_mg_kg_quantitative,Rh_<,Rh_mg_kg_semi_quantitative,Pd_<,Pd_mg_kg_semi_quantitative,Cd_mg_kg_quantitative,Sn_<,Sn_mg_kg_semi_quantitative,Sb_<,Sb_mg_kg_quantitative,Cs_mg_kg_quantitative,Ba_mg_kg_quantitative,La_<,La_mg_kg_quantitative,Ce_<,Ce_mg_kg_quantitative,Pr_<,Pr_mg_kg_quantitative,Nd_<,Nd_mg_kg_semi_quantitative,Sm_<,Sm_mg_kg_semi_quantitative,Eu_<,Eu_mg_kg_semi_quantitative,Gd_<,Gd_mg_kg_semi_quantitative,Tb_<,Tb_mg_kg_semi_quantitative,Dy_<,Dy_mg_kg_semi_quantitative,Ho_<,Ho_mg_kg_semi_quantitative,Er_<,Er_mg_kg_semi_quantitative,W_<,W_mg_kg_quantitative,Tl_<,Tl_mg_kg_semi_quantitative,Pb_mg_kg_quantitative,U_<,U_mg_kg_quantitative
el32814x10,RCM31,Derwent Water,Ruffe,Gymnocephalus cernua,Site 3,05/09/2012,0.21,5.6,26.6,8.68E-01,<,2.33E-03,5.41E+02,2.73E+02,,4.17E+00,5.94E+03,3.47E+02,1.92E+03,1.10E+04,1.46E+01,2.63E+01,2.59E+01,,2.76E-02,<,1.88E-04,3.43E-01,1.61E+01,,4.09E-02,,6.59E-01,4.36E+00,2.09E+01,3.14E-03,,5.07E-04,,2.03E-04,,7.44E-03,,1.01E-04,<,3.76E-05,4.28E-02,,1.93E-02,,1.16E-03,3.98E-02,1.04E+00,,8.90E-03,,1.33E-02,,1.69E-03,,4.67E-03,,9.13E-04,,3.04E-04,,8.11E-04,,1.01E-04,,7.10E-04,,1.01E-04,,2.03E-04,<,1.31E-03,,1.12E-03,3.28E-01,,2.25E-04
el32815x10,RCM32,Derwent Water,Ruffe,Gymnocephalus cernua,Site 3,05/09/2012,0.76,14.3,18.8,4.52E-01,<,1.22E-03,6.07E+02,3.24E+02,,6.71E+00,8.41E+03,3.84E+02,1.75E+03,1.71E+04,1.93E+01,8.14E+01,3.08E+01,,1.69E-02,<,1.06E-04,1.99E-01,2.15E+01,,9.21E-02,,8.78E-01,2.99E+00,1.63E+01,3.93E-03,,2.82E-03,,3.19E-04,,6.44E-03,,5.32E-05,,5.85E-04,5.48E-02,,7.12E-03,,1.49E-03,3.23E-02,1.78E+00,,1.44E-02,,2.19E-02,,2.87E-03,,8.83E-03,,1.97E-03,,5.32E-04,,2.66E-03,,5.32E-04,,1.49E-03,,6.38E-04,,7.44E-04,<,6.92E-04,,3.08E-03,2.17E-01,,8.52E-04
el32904x10,RCM33,Derwent Water,Ruffe,Gymnocephalus cernua,Site 4,05/09/2012,0.42,10.57,25.2,1.08E-01,,2.82E-03,3.68E+02,3.04E+02,,2.01E+01,6.75E+03,2.93E+02,1.22E+03,1.26E+04,1.69E+01,3.89E+01,8.86E+01,,2.44E-02,<,7.95E-05,2.65E-01,1.34E+01,,4.57E-02,,6.29E-01,2.06E+00,1.61E+01,1.18E-02,,1.02E-02,,8.04E-04,,1.67E-03,,9.46E-05,,4.26E-04,6.36E-02,,1.17E-02,,1.43E-03,2.71E-02,1.84E+00,,3.86E-02,,6.60E-02,,8.23E-03,,2.30E-02,,4.21E-03,,1.70E-03,,7.00E-03,,1.42E-03,,6.10E-03,,1.65E-03,,2.08E-03,<,6.36E-04,,2.88E-03,5.21E-01,,1.27E-03
em06005x10,RCM34,Derwent Water,Ruffe,Gymnocephalus cernua,Site 5,05/09/2012,0.61,12.74,20.9,6.70E-01,<,1.10E-03,6.13E+02,2.94E+02,,1.82E+00,7.09E+03,3.52E+02,1.80E+03,1.44E+04,2.95E+01,1.59E+01,1.03E+01,,4.60E-03,<,9.58E-05,2.50E-01,1.35E+01,,5.79E-03,,6.21E-01,7.18E+00,3.12E+01,1.92E-03,,2.35E-03,,1.44E-04,,1.01E-02,,4.79E-05,,7.66E-04,3.27E-02,,6.71E-04,,4.79E-04,7.80E-02,1.41E+00,,5.65E-03,,5.27E-03,,7.18E-04,,1.77E-03,,2.39E-04,,1.44E-04,,4.79E-04,,4.79E-05,,2.87E-04,,9.58E-05,,1.44E-04,,8.14E-04,,1.05E-03,1.44E-01,,5.27E-04
em06006x10,RCM35,Derwent Water,Ruffe,Gymnocephalus cernua,Site 5,05/09/2012,0.16,3.74,23.4,1.40E+00,<,3.55E-03,6.76E+02,2.99E+02,,2.49E+00,6.55E+03,4.07E+02,1.92E+03,1.29E+04,3.05E+01,2.23E+01,1.26E+01,,8.43E-03,<,2.99E-04,4.04E-01,1.98E+01,<,1.51E-02,<,0.00E+00,5.52E+00,2.28E+01,2.92E-03,,2.77E-03,,3.08E-04,,1.16E-02,,1.54E-04,<,4.28E-05,5.39E-02,,2.00E-03,<,1.07E-03,5.18E-02,1.05E+00,,5.48E-03,,5.56E-03,,7.70E-04,,3.23E-03,,6.16E-04,,1.54E-04,,4.62E-04,<,4.28E-05,,4.62E-04,,1.54E-04,<,4.28E-05,<,2.01E-03,<,4.28E-05,2.84E-01,<,1.71E-04
em06007x10,RCM36,Derwent Water,Ruffe,Gymnocephalus cernua,Site 5,05/09/2012,0.18,4.16,23.1,5.45E-02,<,3.25E-03,4.85E+02,3.06E+02,,2.38E+00,6.36E+03,4.04E+02,1.83E+03,1.28E+04,3.02E+01,1.44E+01,1.24E+01,,9.39E-03,<,3.03E-04,4.21E-01,2.08E+01,<,1.38E-02,<,3.06E+00,5.11E+00,2.14E+01,3.39E-03,,3.11E-03,,1.41E-04,,1.12E-02,<,4.33E-05,<,4.33E-05,4.72E-02,,2.97E-03,<,9.95E-04,5.62E-02,9.35E-01,,7.14E-03,,6.62E-03,,9.52E-04,,3.54E-03,,4.24E-04,,1.41E-04,,8.48E-04,,1.41E-04,<,4.33E-05,<,4.33E-05,,1.41E-04,<,1.86E-03,,1.56E-03,3.92E-01,<,1.30E-04
em06008x10,RCM40,Derwent Water,Perch,Perca fluviatillis,Site 2,05/09/2012,0.48,12.4,25.8,8.53E-01,<,8.92E-04,6.71E+02,3.11E+02,,2.58E-01,6.28E+03,2.92E+02,2.56E+03,9.73E+03,2.32E+01,3.14E+01,5.58E+00,<,7.75E-05,<,7.75E-05,2.10E-01,1.45E+01,,1.24E-02,,6.27E-01,6.63E+00,3.99E+01,5.43E-04,,6.59E-04,<,3.51E-05,,9.73E-03,,3.88E-05,,6.20E-04,2.29E-02,,8.53E-04,<,2.71E-04,5.82E-02,7.60E-01,,1.36E-03,,9.69E-04,,1.55E-04,,5.81E-04,,3.88E-05,<,3.88E-05,,3.88E-05,,3.88E-05,<,3.88E-05,<,3.88E-05,<,3.88E-05,<,5.04E-04,,7.36E-04,6.82E-02,<,3.88E-05
em06009x10,RCM41,Derwent Water,Perch,Perca fluviatillis,Site 2,05/09/2012,2.49,51.0,20.5,4.70E-02,<,1.12E-03,7.42E+02,3.44E+02,,1.52E-01,7.71E+03,3.73E+02,2.68E+03,1.30E+04,3.04E+01,1.11E+01,4.57E+00,<,9.76E-05,<,9.76E-05,1.39E-01,1.24E+01,,2.10E-02,,1.20E+00,1.09E+01,4.40E+01,2.92E-04,,1.70E-03,<,4.41E-05,,2.98E-03,<,4.88E-05,,2.92E-04,1.39E-02,,9.23E-04,<,3.41E-04,1.14E-01,9.61E-01,,1.12E-03,,5.85E-04,,9.76E-05,,5.35E-04,<,4.88E-05,<,4.88E-05,<,4.88E-05,,4.86E-05,,4.86E-05,<,4.88E-05,<,4.88E-05,<,6.34E-04,,2.62E-03,8.44E-02,<,4.88E-05
em06010x10,RCM42,Derwent Water,Perch,Perca fluviatillis,Site 2,05/09/2012,3.57,64.2,18.0,5.39E-02,<,1.28E-03,8.62E+02,3.93E+02,<,3.33E-02,8.96E+03,4.39E+02,2.92E+03,1.53E+04,3.59E+01,7.73E+00,5.21E+00,<,1.11E-04,<,1.11E-04,1.77E-01,1.35E+01,,2.15E-02,,2.01E+00,1.66E+01,4.93E+01,6.67E-04,,1.95E-03,<,5.04E-05,,2.17E-03,,1.11E-04,,5.00E-04,2.33E-02,,6.67E-04,<,3.89E-04,1.66E-01,8.01E-01,,1.84E-03,,7.79E-04,,1.67E-04,,5.00E-04,,1.67E-04,<,5.56E-05,,1.11E-04,<,5.56E-05,<,5.56E-05,<,5.56E-05,<,5.56E-05,<,7.23E-04,,6.00E-03,2.24E-02,<,5.56E-05
em06011x10,RCM43,Derwent Water,Perch,Perca fluviatillis,Site 2,05/09/2012,0.72,16.9,23.5,1.60E-01,<,9.79E-04,7.23E+02,3.34E+02,,3.49E-01,7.06E+03,3.57E+02,2.78E+03,1.12E+04,2.62E+01,2.14E+01,5.49E+00,<,8.51E-05,<,8.51E-05,1.86E-01,1.20E+01,,5.49E-03,,7.82E-01,7.74E+00,4.08E+01,5.10E-04,,7.22E-04,<,3.85E-05,,1.20E-02,,4.25E-05,,2.97E-04,2.67E-02,,8.07E-04,<,2.98E-04,7.02E-02,9.53E-01,,1.53E-03,,1.23E-03,,1.70E-04,,4.67E-04,<,4.26E-05,,4.25E-05,,8.50E-05,,4.25E-05,,4.25E-05,<,4.26E-05,<,4.26E-05,,8.94E-04,,2.42E-03,5.49E-02,,1.70E-04
em06012x10,RCM44,Derwent Water,Perch,Perca fluviatillis,Site 5,05/09/2012,3.8,71.1,18.7,3.47E-01,<,1.23E-03,8.39E+02,3.79E+02,,1.41E-01,8.60E+03,3.75E+02,2.83E+03,1.47E+04,3.45E+01,1.86E+01,5.28E+00,<,1.07E-04,<,1.07E-04,1.78E-01,1.36E+01,,1.83E-02,,2.12E+00,1.68E+01,5.39E+01,3.19E-04,,1.38E-03,,1.06E-04,,2.99E-03,,5.31E-05,,5.31E-05,2.03E-02,<,3.79E-03,<,3.74E-04,1.61E-01,7.91E-01,,1.87E-03,,1.01E-03,,2.14E-04,,5.84E-04,,1.59E-04,<,5.34E-05,,1.06E-04,<,5.34E-05,<,5.34E-05,<,5.34E-05,<,5.34E-05,<,6.94E-04,,3.45E-03,2.84E-02,<,5.34E-05
el32911x10,RCM45,Windermere South Basin,Roach,Rutilus rutilus,Lakeside,18/09/2012,10.88,273.0,25.1,5.90E-01,<,9.17E-04,5.74E+02,3.85E+02,,2.12E-01,7.13E+03,1.50E+02,2.73E+03,1.16E+04,1.63E+01,1.69E+00,8.13E+00,<,7.97E-05,<,7.97E-05,4.30E-01,2.01E+01,,2.32E-02,,9.13E-01,3.03E+00,1.06E+01,7.97E-05,<,1.15E-03,<,3.61E-05,,3.99E-03,,3.99E-05,<,3.99E-05,3.91E-03,,4.34E-03,<,2.79E-04,1.62E-02,2.75E+00,,1.59E-04,,1.20E-04,<,7.97E-05,<,3.99E-05,<,3.99E-05,,7.97E-05,,3.99E-05,,3.99E-05,,3.99E-05,<,3.99E-05,<,3.99E-05,<,5.18E-04,,3.99E-05,1.78E-02,<,3.99E-05
el32912x10,RCM 46,Windermere south Basin,Roach,Rutilus rutilus,Lakeside,18/09/2012,10.32,265.8,25.8,7.80E-01,<,8.93E-04,5.05E+02,3.56E+02,,1.68E-01,6.83E+03,1.29E+02,2.31E+03,1.15E+04,1.63E+01,3.04E+00,6.95E+00,<,7.76E-05,<,7.76E-05,4.27E-01,1.66E+01,,2.04E-02,,9.86E-01,2.23E+00,8.66E+00,1.16E-04,,8.52E-04,,3.87E-05,,4.81E-03,,7.74E-05,,1.16E-04,4.77E-03,,5.03E-03,<,2.72E-04,1.36E-02,2.24E+00,<,7.76E-05,<,7.76E-05,<,7.76E-05,,3.88E-05,,3.88E-05,,3.88E-05,<,3.88E-05,<,3.88E-05,<,3.88E-05,<,3.88E-05,<,3.88E-05,<,5.05E-04,,1.55E-04,2.31E-02,<,3.88E-05
el32913x10,RCM47,Windermere South Basin,Roach,Rutilus rutilus,Lakeside,18/09/2012,17.27,365.1,21.1,7.33E-01,<,1.09E-03,6.53E+02,4.14E+02,,1.19E-01,8.14E+03,1.91E+02,2.59E+03,1.41E+04,1.77E+01,3.09E+00,8.94E+00,<,9.46E-05,<,9.46E-05,3.21E-01,2.27E+01,,2.81E-02,,1.03E+00,2.39E+00,9.65E+00,3.31E-04,,8.99E-04,,4.73E-05,,1.14E-03,,4.73E-05,,1.89E-04,5.16E-03,,5.96E-03,<,3.31E-04,1.68E-02,2.68E+00,,1.89E-04,<,9.46E-05,<,9.46E-05,,9.46E-05,<,4.73E-05,,4.73E-05,,4.73E-05,<,4.73E-05,,4.73E-05,<,4.73E-05,<,4.73E-05,<,6.15E-04,<,4.73E-05,2.96E-02,<,4.73E-05
em06013x10,RCM48,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 1,03/09/2012,0.58,11.41,19.7,3.44E-01,<,1.17E-03,5.08E+02,3.21E+02,,1.39E+01,7.62E+03,2.54E+02,1.58E+03,1.56E+04,3.03E+01,8.13E+01,3.43E+01,,4.81E-02,<,1.02E-04,3.04E-01,2.66E+01,,2.82E-02,,3.23E-01,3.01E+00,1.71E+01,5.27E-03,,5.78E-03,,3.04E-04,,1.36E-02,<,5.08E-05,,2.53E-04,8.08E-02,,2.84E-03,,2.13E-03,2.34E-02,6.10E+00,,1.35E-02,,2.40E-02,,3.10E-03,,7.80E-03,,1.37E-03,,5.57E-04,,2.08E-03,,2.03E-04,,1.42E-03,,2.53E-04,,5.57E-04,,1.22E-03,,1.06E-03,2.61E-01,,1.88E-03
em06014x10,RCM49,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 1,03/09/2012,0.22,5.41,24.6,5.69E-01,<,2.20E-03,6.43E+02,2.84E+02,,1.30E+01,6.10E+03,2.07E+02,1.79E+03,1.16E+04,2.61E+01,7.24E+01,3.84E+01,,5.41E-02,<,2.03E-04,3.49E-01,2.64E+01,,2.83E-02,,5.66E-02,3.15E+00,1.12E+01,5.97E-03,,2.89E-03,,1.92E-04,,1.42E-02,<,4.07E-05,,2.89E-04,8.21E-02,,2.89E-03,,1.83E-03,1.93E-02,2.25E+00,,1.35E-02,,2.50E-02,,3.17E-03,,1.14E-02,,1.06E-03,,5.77E-04,,2.12E-03,,1.92E-04,,1.73E-03,,1.92E-04,,4.81E-04,<,1.26E-03,,4.81E-04,1.62E-01,,1.02E-03
em06015x10,RCM50,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 1,03/09/2012,0.54,10.03,18.6,5.26E-01,<,1.24E-03,6.51E+02,3.40E+02,,5.21E+00,8.24E+03,2.98E+02,1.99E+03,1.64E+04,3.22E+01,8.56E+01,1.85E+01,,4.60E-02,<,1.08E-04,3.28E-01,2.90E+01,,2.23E-02,,2.72E-01,3.40E+00,1.70E+01,1.93E-03,,2.74E-03,,1.61E-04,,1.41E-02,,5.37E-05,,3.76E-04,7.43E-02,,2.15E-03,,1.35E-03,2.44E-02,4.36E+00,,5.38E-03,,8.34E-03,,1.18E-03,,2.47E-03,,6.98E-04,,2.15E-04,,6.98E-04,,1.07E-04,,6.45E-04,,1.07E-04,,1.61E-04,,8.61E-04,,1.40E-03,1.25E-01,,1.40E-03
em06016x10,RCM51,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 2,03/09/2012,0.46,8.92,19.4,6.19E-02,<,1.34E-03,6.50E+02,3.42E+02,,2.77E+00,8.10E+03,3.20E+02,1.99E+03,1.58E+04,3.38E+01,4.83E+01,1.31E+01,,2.92E-02,<,1.03E-04,3.91E-01,2.54E+01,,1.30E-02,,3.04E-01,3.15E+00,1.56E+01,1.78E-03,,1.78E-03,,1.19E-04,,1.38E-02,<,5.16E-05,,4.15E-04,7.84E-02,,2.79E-03,,1.19E-03,1.93E-02,3.04E+00,,3.09E-03,,4.07E-03,,5.67E-04,,1.84E-03,,3.56E-04,,1.19E-04,,4.74E-04,,5.93E-05,,2.37E-04,,5.93E-05,,5.93E-05,,2.01E-03,,1.36E-03,1.39E-01,,6.70E-04
em06017x10,RCM52,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 2,03/09/2012,0.38,7.52,19.8,3.19E-01,<,1.67E-03,7.18E+02,3.45E+02,,3.48E+00,7.58E+03,2.82E+02,2.27E+03,1.47E+04,3.19E+01,3.89E+01,1.73E+01,,3.16E-02,<,1.52E-04,3.54E-01,2.82E+01,,2.71E-02,,6.02E-01,3.54E+00,1.54E+01,1.98E-03,,3.37E-03,,2.93E-04,,9.95E-03,<,5.05E-05,<,5.05E-05,7.83E-02,,2.71E-03,,1.62E-03,1.97E-02,3.04E+00,,3.28E-03,,4.55E-03,,6.06E-04,,2.05E-03,,2.93E-04,,1.46E-04,,5.12E-04,,7.32E-05,,1.46E-04,<,5.05E-05,<,5.05E-05,<,9.60E-04,,8.79E-04,2.17E-01,,9.60E-04
em06018x10,RCM53,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 2,03/09/2012,0.56,10.52,18.8,5.04E-02,<,1.22E-03,8.09E+02,3.56E+02,,2.02E+00,8.20E+03,3.68E+02,2.27E+03,1.61E+04,3.30E+01,3.51E+01,1.38E+01,,1.82E-02,<,1.06E-04,3.52E-01,2.71E+01,,2.89E-02,,7.13E-01,4.14E+00,2.09E+01,1.54E-03,,1.97E-03,,1.60E-04,,9.85E-03,,5.33E-05,<,5.32E-05,6.39E-02,,1.76E-03,,8.52E-04,3.08E-02,4.41E+00,,2.82E-03,,3.03E-03,,4.79E-04,,1.17E-03,,2.13E-04,,1.07E-04,,4.79E-04,,5.33E-05,,2.66E-04,,5.33E-05,,5.33E-05,<,6.92E-04,,5.33E-04,1.43E-01,,6.39E-04
em06019x10,RCM54,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 2,03/09/2012,0.35,7.67,21.9,4.39E-02,<,1.41E-03,6.75E+02,3.30E+02,,3.01E+00,7.21E+03,2.91E+02,2.02E+03,1.39E+04,2.87E+01,3.09E+01,4.01E+01,,3.33E-02,<,1.37E-04,3.70E-01,2.51E+01,,1.66E-02,,1.27E-01,3.71E+00,1.62E+01,2.06E-03,<,1.80E-03,,6.23E-05,,1.22E-02,,6.23E-05,,2.49E-04,7.57E-02,,1.87E-03,,1.05E-03,2.99E-02,2.77E+00,,3.29E-03,,4.70E-03,,6.39E-04,,1.87E-03,,1.25E-04,,1.25E-04,,2.49E-04,,6.23E-05,,6.23E-05,,6.23E-05,,1.87E-04,<,8.21E-04,<,4.56E-05,1.16E-01,,4.11E-04
em06020x10,RCM55,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 5,03/09/2012,1.18,23.46,19.9,7.95E-01,<,1.16E-03,8.15E+02,3.31E+02,,9.56E-01,7.70E+03,3.25E+02,2.19E+03,1.43E+04,3.10E+01,2.18E+01,1.23E+01,,2.06E-02,<,1.01E-04,3.29E-01,1.94E+01,,2.43E-02,,2.05E+00,7.24E+00,2.05E+01,7.06E-04,,1.77E-03,,5.04E-05,,,<,5.03E-05,,4.04E-04,7.44E-03,,1.01E-03,,8.05E-04,5.43E-02,3.78E+00,,1.66E-03,,1.86E-03,,3.02E-04,,9.08E-04,,1.01E-04,,1.01E-04,,2.52E-04,<,5.03E-05,,5.04E-05,,5.04E-05,<,5.03E-05,,7.54E-04,<,5.03E-05,1.17E-01,,8.05E-04
em06105x10,RCM56,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 5,03/09/2012,0.6,12.38,20.6,5.57E-01,<,1.11E-03,7.12E+02,3.34E+02,,2.74E+00,7.61E+03,2.94E+02,2.36E+03,1.44E+04,3.01E+01,2.83E+01,1.47E+01,,5.19E-02,<,9.69E-05,3.35E-01,2.25E+01,,2.09E-02,,4.66E-01,3.78E+00,1.34E+01,1.31E-03,,6.29E-04,,9.68E-05,,1.16E-02,<,4.85E-05,<,4.85E-05,5.04E-02,,1.31E-03,,1.31E-03,2.56E-02,2.40E+00,,3.20E-03,,4.94E-03,,6.30E-04,,1.94E-03,,3.39E-04,,9.68E-05,,4.84E-04,,4.84E-05,,3.39E-04,<,4.85E-05,<,4.85E-05,,8.24E-04,,3.39E-04,1.84E-01,,7.75E-04
em06106x10,RCM57,Bassenthwaite Lake,Ruffe,Gymnocephalus cernua,Site 5,03/09/2012,0.59,13.11,22.2,5.90E-02,<,1.04E-03,5.85E+02,3.08E+02,,3.71E+00,7.07E+03,2.59E+02,1.93E+03,1.35E+04,2.80E+01,4.77E+01,1.45E+01,,3.31E-02,<,9.00E-05,2.65E-01,2.18E+01,,3.69E-02,,4.18E-01,3.05E+00,1.17E+01,1.66E-03,,2.25E-03,,8.98E-05,,8.01E-03,,4.49E-05,,2.25E-04,4.82E-02,,1.75E-03,,1.35E-03,2.15E-02,2.78E+00,,4.19E-03,,6.62E-03,,8.55E-04,,2.69E-03,,4.04E-04,,2.25E-04,,5.39E-04,,8.98E-05,,4.49E-04,,4.49E-05,,1.35E-04,,6.30E-04,,4.49E-04,1.42E-01,,1.35E-03
em06108x10,RCM59,Windermere South Basin,Brown trout,Salmo trutta,Floating,18/09/2012,4.17,175.37,42.1,3.76E-01,<,5.47E-04,5.14E+02,2.71E+02,,2.40E-01,4.09E+03,1.45E+02,2.83E+03,4.59E+03,1.37E+01,1.64E+00,6.85E+00,<,4.76E-05,<,4.76E-05,1.12E+00,2.50E+01,<,2.33E-03,,8.12E-01,3.73E+00,4.18E+00,1.90E-04,<,6.85E-04,<,2.15E-05,,5.09E-03,,2.37E-05,<,2.38E-05,1.51E-02,,7.36E-04,<,1.66E-04,1.03E-02,2.69E-01,,9.51E-05,<,4.76E-05,<,4.76E-05,,2.37E-05,<,2.38E-05,<,2.38E-05,,2.37E-05,<,2.38E-05,,2.37E-05,<,2.38E-05,<,2.38E-05,<,3.09E-04,,3.32E-04,1.06E-02,<,2.38E-05
em06109x10,RCM60,Windermere North Basin,Brown trout,Salmo trutta,Floating ,17/09/2012,2.38,99.5,41.8,7.51E-01,<,5.50E-04,3.95E+02,2.75E+02,,3.35E-01,4.04E+03,2.04E+02,2.89E+03,4.47E+03,1.40E+01,8.85E-01,6.63E+00,<,4.78E-05,<,4.78E-05,6.05E-01,2.89E+01,<,2.34E-03,,3.86E-01,4.69E+00,4.09E+00,2.16E-04,,4.79E-05,,4.79E-05,,5.45E-03,<,2.39E-05,<,2.39E-05,1.90E-02,,8.87E-04,,1.91E-04,1.27E-02,3.13E-01,,3.35E-04,,2.63E-04,,7.18E-05,,1.92E-04,,4.79E-05,,2.40E-05,,2.40E-05,<,2.39E-05,,4.79E-05,<,2.39E-05,<,2.39E-05,<,3.11E-04,,1.10E-03,1.34E-02,<,2.39E-05
em06110x10,RCM61,Windermere North Basin,Brown trout,Salmo trutta,Floating ,17/09/2012,2.92,113.24,38.8,1.10E+00,<,5.93E-04,4.82E+02,2.94E+02,,2.86E-01,4.28E+03,1.87E+02,3.20E+03,4.59E+03,1.49E+01,5.80E-01,7.25E+00,<,5.16E-05,<,5.16E-05,5.44E-01,2.71E+01,,1.22E-02,,1.19E+00,5.34E+00,4.25E+00,1.80E-04,,2.57E-04,,5.15E-05,,6.83E-03,,2.57E-05,<,2.58E-05,1.97E-02,,2.01E-03,,3.35E-04,1.73E-02,3.22E-01,,4.13E-04,,4.13E-04,,7.74E-05,,2.32E-04,<,2.58E-05,,2.57E-05,,2.57E-05,<,2.58E-05,,5.15E-05,<,2.58E-05,,2.57E-05,<,3.35E-04,,3.66E-03,2.84E-02,<,2.58E-05
em06111x10,RCM62,Windermere South Basin,Brown trout,Salmo trutta,Floating,18/09/2012,2.86,99.34,34.7,9.10E-01,<,6.62E-04,6.33E+02,3.02E+02,,3.86E-01,4.84E+03,2.87E+02,3.37E+03,5.70E+03,1.62E+01,6.25E+00,7.23E+00,,1.87E-03,<,5.76E-05,6.82E-01,2.40E+01,<,2.82E-03,,2.53E-01,5.21E+00,5.15E+00,1.73E-04,,4.03E-04,,2.88E-05,,6.19E-03,<,2.88E-05,<,2.88E-05,9.73E-03,,2.71E-03,,2.88E-04,1.35E-02,3.22E-01,,1.73E-04,,1.73E-04,<,5.76E-05,,1.73E-04,,5.76E-05,<,2.88E-05,<,2.88E-05,<,2.88E-05,<,2.88E-05,<,2.88E-05,<,2.88E-05,<,3.74E-04,<,2.88E-05,2.20E-02,,5.76E-05
em06113x10,RCM64,Windermere South Basin,Brown trout,Salmo trutta,Floating,18/09/2012,2.68,106.62,39.8,5.66E-01,<,5.78E-04,5.25E+02,2.82E+02,,2.79E-01,4.20E+03,1.63E+02,3.02E+03,4.57E+03,1.52E+01,1.05E+00,6.71E+00,,5.53E-04,<,5.03E-05,8.37E-01,3.67E+01,<,2.46E-03,,7.27E-01,4.17E+00,4.17E+00,1.51E-04,,2.52E-05,,2.52E-05,,6.16E-03,<,2.51E-05,<,2.51E-05,1.89E-02,,1.11E-03,<,1.76E-04,9.95E-03,2.23E-01,,1.26E-04,,7.54E-05,<,5.03E-05,,1.01E-04,<,2.51E-05,<,2.51E-05,<,2.51E-05,<,2.51E-05,<,2.51E-05,<,2.51E-05,<,2.51E-05,<,3.27E-04,,3.02E-04,1.06E-02,<,2.51E-05
em06114x10,RCM65,Windermere South Basin,Perch,Perca fluviatillis,Silver Holme (20m),18/09/2012,2.56,55.87,21.8,1.64E-01,<,1.05E-03,6.78E+02,3.63E+02,,7.01E-01,7.56E+03,3.49E+02,2.76E+03,1.25E+04,3.05E+01,6.78E+00,6.92E+00,<,9.16E-05,<,9.16E-05,2.03E-01,1.40E+01,<,4.49E-03,,1.34E+00,4.90E+00,1.64E+01,5.96E-04,,1.38E-04,<,4.16E-05,,5.09E-03,,4.58E-05,<,4.58E-05,1.38E-02,,1.60E-03,<,3.21E-04,1.65E-02,2.10E+00,,9.16E-04,,9.62E-04,,1.83E-04,,6.42E-04,,9.17E-05,,9.17E-05,,9.17E-05,<,4.58E-05,,9.17E-05,<,4.58E-05,<,4.58E-05,<,5.96E-04,,8.71E-04,1.01E-02,,4.58E-05
em06115x10,RCM66,Windermere South Basin,Perch,Perca fluviatillis,Lakeside,18/09/2013,1.09,29.07,26.7,4.01E-01,<,8.62E-04,4.57E+02,2.92E+02,,1.45E+00,6.11E+03,3.63E+02,2.06E+03,1.04E+04,2.48E+01,4.05E+00,5.47E+00,<,7.50E-05,<,7.50E-05,2.24E-01,1.26E+01,,7.42E-03,,1.46E+00,4.95E+00,1.28E+01,6.39E-04,,1.01E-03,<,3.41E-05,,4.95E-03,,3.76E-05,,7.51E-05,1.31E-02,,1.62E-03,,3.00E-04,1.90E-02,2.62E+00,,1.20E-03,,1.16E-03,,2.25E-04,,6.76E-04,,2.63E-04,,1.13E-04,,2.25E-04,,3.76E-05,,1.13E-04,,3.76E-05,<,3.75E-05,<,4.87E-04,,5.22E-03,2.01E-02,,3.00E-04
